IXOPER_g2296	1	IXOPER_C10	32565	35664
IXOPER_g2297	-1	IXOPER_C10	67693	69574
IXOPER_g2298	1	IXOPER_C10	111804	112070
IXOPER_g2299	-1	IXOPER_C10	210198	210449
IXOPER_g2300	-1	IXOPER_C10	210783	211223
IXOPER_g2301	1	IXOPER_C10	231579	239068
IXOPER_g2302	-1	IXOPER_C10	321117	323088
IXOPER_g2303	1	IXOPER_C10	367718	453642
IXOPER_g2304	1	IXOPER_C10	532955	551292
IXOPER_g2305	1	IXOPER_C10	556404	591899
IXOPER_g2306	-1	IXOPER_C10	597806	599423
IXOPER_g2307	1	IXOPER_C10	599468	635441
IXOPER_g2308	1	IXOPER_C10	638863	665734
IXOPER_g2309	-1	IXOPER_C10	668794	683824
IXOPER_g2310	1	IXOPER_C10	684576	685337
IXOPER_g2311	1	IXOPER_C10	685936	702322
IXOPER_g2312	-1	IXOPER_C10	709628	710056
IXOPER_g2313	-1	IXOPER_C10	710110	730932
IXOPER_g2314	-1	IXOPER_C10	740663	767755
IXOPER_g2315	1	IXOPER_C10	768491	791615
IXOPER_g2316	-1	IXOPER_C10	792850	793369
IXOPER_g2317	1	IXOPER_C10	795769	822083
IXOPER_g2318	-1	IXOPER_C10	824274	824795
IXOPER_g2319	1	IXOPER_C10	825273	825530
IXOPER_g2320	-1	IXOPER_C10	825669	845864
IXOPER_g2321	-1	IXOPER_C10	847357	886205
IXOPER_g2322	1	IXOPER_C10	887730	890192
IXOPER_g2323	-1	IXOPER_C10	894506	942775
IXOPER_g2324	1	IXOPER_C10	971752	1003818
IXOPER_g2325	-1	IXOPER_C10	1017045	1070738
IXOPER_g2326	1	IXOPER_C10	1081299	1084909
IXOPER_g2327	-1	IXOPER_C10	1181665	1181880
IXOPER_g2328	-1	IXOPER_C10	1197184	1217117
IXOPER_g2329	1	IXOPER_C10	1241008	1253038
IXOPER_g2330	-1	IXOPER_C10	1254702	1260866
IXOPER_g2331	-1	IXOPER_C10	1274260	1290539
IXOPER_g2332	1	IXOPER_C10	1295294	1350141
IXOPER_g6436	1	IXOPER_C100	31277	37306
IXOPER_g6437	-1	IXOPER_C100	50220	54601
IXOPER_g6438	1	IXOPER_C100	54791	55615
IXOPER_g6439	-1	IXOPER_C100	56373	70147
IXOPER_g6440	1	IXOPER_C100	70686	85515
IXOPER_g6441	-1	IXOPER_C100	93287	253725
IXOPER_g6442	1	IXOPER_C100	255257	256009
IXOPER_g6443	-1	IXOPER_C100	262654	383335
IXOPER_g6444	-1	IXOPER_C100	292669	292890
IXOPER_g6445	1	IXOPER_C100	455418	490568
IXOPER_g6446	-1	IXOPER_C100	501210	501545
IXOPER_g6447	1	IXOPER_C100	509768	512177
IXOPER_g6448	1	IXOPER_C100	550056	550385
IXOPER_g6449	1	IXOPER_C100	560906	561358
IXOPER_g6450	1	IXOPER_C100	580373	598790
IXOPER_g6451	-1	IXOPER_C100	618884	622234
IXOPER_g6452	-1	IXOPER_C100	645344	652362
IXOPER_g6453	-1	IXOPER_C100	662801	695611
IXOPER_g6454	1	IXOPER_C100	717423	719274
IXOPER_g6455	1	IXOPER_C100	766234	766551
IXOPER_g6456	1	IXOPER_C100	797802	808803
IXOPER_g6457	-1	IXOPER_C100	852604	854183
IXOPER_g6458	-1	IXOPER_C100	867220	867468
IXOPER_g6459	1	IXOPER_C100	940311	942027
IXOPER_g6460	1	IXOPER_C100	1068266	1068661
IXOPER_g6461	-1	IXOPER_C100	1094623	1108765
IXOPER_g6462	1	IXOPER_C100	1114921	1125334
IXOPER_g6463	-1	IXOPER_C100	1126594	1131835
IXOPER_g6464	-1	IXOPER_C100	1191239	1194413
IXOPER_g425	1	IXOPER_C101	16420	23923
IXOPER_g426	1	IXOPER_C101	100694	107515
IXOPER_g427	1	IXOPER_C101	114716	124109
IXOPER_g428	-1	IXOPER_C101	129879	143654
IXOPER_g429	-1	IXOPER_C101	147182	176205
IXOPER_g430	1	IXOPER_C101	177173	192075
IXOPER_g431	-1	IXOPER_C101	235132	235475
IXOPER_g432	1	IXOPER_C101	258540	258806
IXOPER_g433	-1	IXOPER_C101	262384	275742
IXOPER_g434	1	IXOPER_C101	299087	366660
IXOPER_g435	-1	IXOPER_C101	422339	444234
IXOPER_g436	-1	IXOPER_C101	470620	575590
IXOPER_g437	-1	IXOPER_C101	602459	617285
IXOPER_g438	1	IXOPER_C101	639604	653746
IXOPER_g439	1	IXOPER_C101	693432	700619
IXOPER_g440	-1	IXOPER_C101	933967	951924
IXOPER_g441	-1	IXOPER_C101	978933	979256
IXOPER_g442	-1	IXOPER_C101	990193	990411
IXOPER_g443	1	IXOPER_C101	1028241	1033656
IXOPER_g444	1	IXOPER_C101	1056089	1065637
IXOPER_g445	1	IXOPER_C101	1069939	1104576
IXOPER_g446	1	IXOPER_C101	1127882	1128127
