TACGIG_g28954	1	TACGIG_C1	15718	26113
TACGIG_g28955	-1	TACGIG_C1	33431	34328
TACGIG_g28956	-1	TACGIG_C1	43365	44616
TACGIG_g28957	1	TACGIG_C1	142599	142918
TACGIG_g28958	-1	TACGIG_C1	188811	192923
TACGIG_g28959	-1	TACGIG_C1	193984	194475
TACGIG_g28960	-1	TACGIG_C1	216253	217683
TACGIG_g28961	-1	TACGIG_C1	217947	218969
TACGIG_g28962	-1	TACGIG_C1	219273	220298
TACGIG_g28963	-1	TACGIG_C1	220484	221947
TACGIG_g28964	-1	TACGIG_C1	222880	223620
TACGIG_g28965	-1	TACGIG_C1	223802	225028
TACGIG_g28966	-1	TACGIG_C1	225614	227719
TACGIG_g28967	-1	TACGIG_C1	228065	229168
TACGIG_g28968	-1	TACGIG_C1	229909	230565
TACGIG_g28969	-1	TACGIG_C1	231342	232727
TACGIG_g28970	-1	TACGIG_C1	233757	235022
TACGIG_g28971	-1	TACGIG_C1	235692	238082
TACGIG_g28972	-1	TACGIG_C1	239114	241144
TACGIG_g28973	-1	TACGIG_C1	241206	241805
TACGIG_g28974	-1	TACGIG_C1	275469	288747
TACGIG_g28975	-1	TACGIG_C1	294020	294892
TACGIG_g28976	-1	TACGIG_C1	294954	295790
TACGIG_g28977	-1	TACGIG_C1	371531	372031
TACGIG_g28978	-1	TACGIG_C1	372621	374042
TACGIG_g28979	1	TACGIG_C1	411565	414312
TACGIG_g28980	1	TACGIG_C1	439005	488974
TACGIG_g28981	1	TACGIG_C1	494135	509191
TACGIG_g28982	1	TACGIG_C1	512649	512987
TACGIG_g28983	1	TACGIG_C1	527849	587058
TACGIG_g28984	1	TACGIG_C1	628216	629844
TACGIG_g28985	1	TACGIG_C1	631948	674292
TACGIG_g28986	-1	TACGIG_C1	696786	703650
TACGIG_g28987	1	TACGIG_C1	704098	787518
TACGIG_g28988	-1	TACGIG_C1	788024	789416
TACGIG_g28989	1	TACGIG_C1	789462	800730
TACGIG_g28990	1	TACGIG_C1	798427	799575
TACGIG_g28991	-1	TACGIG_C1	807073	816721
TACGIG_g28992	-1	TACGIG_C1	820159	822288
TACGIG_g28993	-1	TACGIG_C1	822513	824889
TACGIG_g28994	-1	TACGIG_C1	833098	868903
TACGIG_g28995	1	TACGIG_C1	860969	861268
TACGIG_g28996	1	TACGIG_C1	863858	864133
TACGIG_g28997	1	TACGIG_C1	869635	877905
TACGIG_g28998	-1	TACGIG_C1	905627	995416
TACGIG_g28999	-1	TACGIG_C1	972719	973066
TACGIG_g29000	-1	TACGIG_C1	975907	1019333
TACGIG_g29001	-1	TACGIG_C1	1027578	1060068
TACGIG_g29002	1	TACGIG_C1	1064540	1066660
TACGIG_g29003	-1	TACGIG_C1	1070317	1124530
TACGIG_g29004	-1	TACGIG_C1	1208988	1209257
TACGIG_g29005	1	TACGIG_C1	1218228	1218815
TACGIG_g29006	1	TACGIG_C1	1222175	1242292
TACGIG_g29007	1	TACGIG_C1	1251624	1252505
TACGIG_g29008	-1	TACGIG_C1	1484290	1484640
TACGIG_g29009	-1	TACGIG_C1	1516905	1517321
TACGIG_g29010	-1	TACGIG_C1	1523281	1524018
TACGIG_g29011	-1	TACGIG_C1	1525703	1534049
TACGIG_g29012	-1	TACGIG_C1	1559750	1560324
TACGIG_g29013	-1	TACGIG_C1	1562858	1563571
TACGIG_g29014	-1	TACGIG_C1	1564371	1573652
TACGIG_g29015	-1	TACGIG_C1	1573723	1592346
TACGIG_g29016	-1	TACGIG_C1	1597227	1615019
TACGIG_g29017	1	TACGIG_C1	1640034	1640569
TACGIG_g29018	1	TACGIG_C1	1640733	1641053
TACGIG_g29019	1	TACGIG_C1	1641218	1641547
